Dates,NKE ,C ,SPX ,USDGBP,CBK ,VOW ,DAX,GBPEUR,,,,,,,,,,,,,,,,,,,,
04/01/2010,16.3375,34,1132.98,0.6217,36.094,73.124,6048.3,1.1159,,,,,,,,,,,,,,,,,,,,
05/01/2010,16.4025,35.3,1136.52,0.6253,37.5205,74.267,6031.86,1.1132,,,,,,,,,,,,,,,,,,,,
06/01/2010,16.3025,36.4,1137.14,0.6243,38.7732,74.367,6034.33,1.1118,,,,,,,,,,,,,,,,,,,,
07/01/2010,16.4625,36.5,1141.7,0.6276,40.9429,74.953,6019.36,1.1135,,,,,,,,,,,,,,,,,,,,
08/01/2010,16.43,35.9,1144.98,0.6241,40.9669,76.087,6037.61,1.1119,,,,,,,,,,,,,,,,,,,,
11/01/2010,16.2275,36.3,1146.98,0.6206,41.4164,75.321,6040.5,1.1103,,,,,,,,,,,,,,,,,,,,
12/01/2010,16.205,35.2,1136.22,0.6186,39.2587,73.482,5943,1.1158,,,,,,,,,,,,,,,,,,,,
13/01/2010,16.35,35,1145.68,0.6142,39.7921,74.019,5963.14,1.1221,,,,,,,,,,,,,,,,,,,,
14/01/2010,16.2475,35.1,1148.46,0.6122,40.4035,73.104,5988.88,1.1266,,,,,,,,,,,,,,,,,,,,
15/01/2010,16.0975,34.2,1136.03,0.6148,39.6782,72.468,5875.97,1.1305,,,,,,,,,,,,,,,,,,,,
18/01/2010,16.0975,34.2,1136.03,0.6119,39.2587,72.269,5918.55,1.1362,,,,,,,,,,,,,,,,,,,,
19/01/2010,16.1775,35.4,1150.23,0.6112,39.5644,72.11,5976.48,1.1452,,,,,,,,,,,,,,,,,,,,
20/01/2010,16.045,34.6,1138.04,0.6138,38.5215,71.295,5851.53,1.155,,,,,,,,,,,,,,,,,,,,
21/01/2010,15.91,32.7,1116.48,0.6175,36.8552,70.897,5746.97,1.1499,,,,,,,,,,,,,,,,,,,,
22/01/2010,15.745,32.5,1091.76,0.6206,36.7353,69.416,5695.32,1.1396,,,,,,,,,,,,,,,,,,,,
25/01/2010,15.9175,32.3,1096.79,0.6156,36.2319,68.014,5631.37,1.1479,,,,,,,,,,,,,,,,,,,,
26/01/2010,15.935,31.5,1092.17,0.6194,36.2139,67.596,5668.93,1.1472,,,,,,,,,,,,,,,,,,,,
27/01/2010,16,32,1097.5,0.6185,35.0691,65.817,5643.2,1.1529,,,,,,,,,,,,,,,,,,,,
28/01/2010,15.88,32.4,1084.53,0.6197,34.6975,64.067,5540.33,1.1551,,,,,,,,,,,,,,,,,,,,
29/01/2010,15.9375,33.2,1073.87,0.6256,33.8584,63.262,5608.79,1.1532,,,,,,,,,,,,,,,,,,,,
01/02/2010,16.025,33.4,1089.19,0.6267,35.5546,65.926,5654.48,1.1454,,,,,,,,,,,,,,,,,,,,
02/02/2010,15.9825,34.1,1103.32,0.6261,35.8782,66.433,5709.66,1.1438,,,,,,,,,,,,,,,,,,,,
03/02/2010,16,33.7,1097.28,0.6292,35.129,67.984,5672.09,1.1438,,,,,,,,,,,,,,,,,,,,
04/02/2010,15.5225,31.8,1063.11,0.6347,33.4028,65.797,5533.24,1.1481,,,,,,,,,,,,,,,,,,,,
05/02/2010,15.425,32.2,1066.19,0.6394,32.5457,62.735,5434.34,1.1435,,,,,,,,,,,,,,,,,,,,
08/02/2010,15.325,31.5,1056.74,0.6416,33.0133,62.605,5484.85,1.1417,,,,,,,,,,,,,,,,,,,,
09/02/2010,15.6275,31.8,1070.52,0.6362,33.9902,63.699,5498.26,1.1393,,,,,,,,,,,,,,,,,,,,
10/02/2010,15.66,32,1068.14,0.6412,34.0622,64.345,5536.37,1.1353,,,,,,,,,,,,,,,,,,,,
11/02/2010,15.7375,32.1,1078.47,0.6368,34.1161,62.536,5503.93,1.1469,,,,,,,,,,,,,,,,,,,,
12/02/2010,15.6225,31.8,1075.51,0.6369,33.6546,61.929,5500.39,1.1519,,,,,,,,,,,,,,,,,,,,
15/02/2010,15.6225,31.8,1075.51,0.6386,33.5047,62.168,5511.1,1.1516,,,,,,,,,,,,,,,,,,,,
16/02/2010,15.9125,33.1,1094.87,0.6333,33.7924,63.023,5592.12,1.1469,,,,,,,,,,,,,,,,,,,,
17/02/2010,16.12,34.1,1099.51,0.6381,34.4457,64.465,5648.34,1.1518,,,,,,,,,,,,,,,,,,,,
18/02/2010,16.11,34.3,1106.75,0.644,34.4937,63.957,5680.41,1.1478,,,,,,,,,,,,,,,,,,,,
19/02/2010,16.0875,34.2,1109.17,0.6463,34.9133,62.904,5722.05,1.137,,,,,,,,,,,,,,,,,,,,
22/02/2010,16.0775,34.6,1108.02,0.6459,35.5426,64.544,5688.44,1.1388,,,,,,,,,,,,,,,,,,,,
23/02/2010,16.0325,33.5,1094.6,0.6483,33.8704,64.206,5604.07,1.1419,,,,,,,,,,,,,,,,,,,,
24/02/2010,16.2325,34.5,1105.24,0.649,33.2051,65.031,5615.51,1.1381,,,,,,,,,,,,,,,,,,,,
25/02/2010,16.54,33.9,1102.94,0.6551,32.6656,63.987,5532.33,1.1265,,,,,,,,,,,,,,,,,,,,
26/02/2010,16.9,34,1104.49,0.6562,32.7855,63.371,5598.46,1.1175,,,,,,,,,,,,,,,,,,,,
01/03/2010,17.06,33.9,1115.71,0.6671,32.8454,63.977,5713.51,1.1055,,,,,,,,,,,,,,,,,,,,
02/03/2010,17.0075,34,1118.31,0.668,33.4028,65.101,5776.56,1.0997,,,,,,,,,,,,,,,,,,,,
03/03/2010,16.91,34,1118.79,0.6623,33.3729,66.433,5817.88,1.1024,,,,,,,,,,,,,,,,,,,,
04/03/2010,16.9075,34.3,1122.97,0.6652,33.9243,66.284,5795.32,1.107,,,,,,,,,,,,,,,,,,,,
05/03/2010,17.08,35,1138.7,0.6606,35.0631,71.295,5877.36,1.1111,,,,,,,,,,,,,,,,,,,,
08/03/2010,17.205,35.6,1138.51,0.6637,35.0211,71.076,5875.91,1.1052,,,,,,,,,,,,,,,,,,,,
09/03/2010,17.2325,38.2,1140.45,0.6668,35.117,69.813,5885.89,1.1026,,,,,,,,,,,,,,,,,,,,
10/03/2010,17.28,39.6,1145.61,0.6677,35.2669,70.151,5936.72,1.0967,,,,,,,,,,,,,,,,,,,,
11/03/2010,17.4375,41.8,1150.24,0.6639,35.3688,73.383,5928.63,1.1011,,,,,,,,,,,,,,,,,,,,
12/03/2010,17.475,39.7,1149.99,0.6577,36.4357,74.267,5945.11,1.1046,,,,,,,,,,,,,,,,,,,,
15/03/2010,17.5975,38.9,1150.51,0.6641,36.3817,73.82,5903.56,1.1009,,,,,,,,,,,,,,,,,,,,
16/03/2010,17.595,40.5,1159.46,0.656,37.2028,74.963,5970.99,1.1075,,,,,,,,,,,,,,,,,,,,
17/03/2010,17.72,40.5,1166.21,0.6525,38.2398,75.371,6024.28,1.1157,,,,,,,,,,,,,,,,,,,,
18/03/2010,18.665,40.2,1165.83,0.656,37.6404,74.516,6012.31,1.1201,,,,,,,,,,,,,,,,,,,,
19/03/2010,18.38,39,1159.9,0.6661,37.9341,74.715,5982.43,1.1096,,,,,,,,,,,,,,,,,,,,
22/03/2010,18.47,40.4,1165.81,0.6622,37.6404,75.54,5987.5,1.1138,,,,,,,,,,,,,,,,,,,,
23/03/2010,18.6225,41.3,1174.17,0.6645,38.6893,72.18,6017.27,1.1146,,,,,,,,,,,,,,,,,,,,
24/03/2010,18.345,41.5,1167.72,0.6726,39.5044,70.907,6039,1.1166,,,,,,,,,,,,,,,,,,,,
25/03/2010,18.3925,42.7,1165.73,0.6751,39.888,70.251,6132.95,1.1159,,,,,,,,,,,,,,,,,,,,
26/03/2010,18.4725,43.1,1166.59,0.6713,40.0978,72.289,6120.05,1.1109,,,,,,,,,,,,,,,,,,,,
29/03/2010,18.4925,41.8,1173.22,0.6672,39.3786,71.782,6156.85,1.1116,,,,,,,,,,,,,,,,,,,,
30/03/2010,18.4525,40.9,1173.27,0.6636,38.0599,70.191,6142.45,1.1235,,,,,,,,,,,,,,,,,,,,
31/03/2010,18.375,40.5,1169.43,0.6586,38.006,71.6,6153.55,1.1239,,,,,,,,,,,,,,,,,,,,
01/04/2010,18.5025,41.8,1178.1,0.6539,38.0599,71.61,6235.56,1.1254,,,,,,,,,,,,,,,,,,,,
02/04/2010,18.5025,41.8,1178.1,0.6575,38.0599,71.61,6235.56,1.1265,,,,,,,,,,,,,,,,,,,,
05/04/2010,18.5275,42.6,1187.44,0.6538,38.0599,71.61,6235.56,1.1342,,,,,,,,,,,,,,,,,,,,
06/04/2010,18.4775,42.9,1189.44,0.655,38.6653,72.45,6252.21,1.1393,,,,,,,,,,,,,,,,,,,,
07/04/2010,18.3975,43.6,1182.45,0.6561,38.4256,72.89,6222.41,1.1422,,,,,,,,,,,,,,,,,,,,
08/04/2010,18.4975,44.7,1186.44,0.6545,37.8562,71.18,6171.83,1.1437,,,,,,,,,,,,,,,,,,,,
09/04/2010,18.795,45.5,1194.37,0.6506,38,70.87,6249.7,1.1388,,,,,,,,,,,,,,,,,,,,
12/04/2010,18.8825,46.4,1196.48,0.6507,38.3057,70.92,6250.69,1.1308,,,,,,,,,,,,,,,,,,,,
13/04/2010,18.8775,46.2,1197.3,0.6502,38.0659,71.92,6230.83,1.1298,,,,,,,,,,,,,,,,,,,,
14/04/2010,18.95,49.3,1210.65,0.6466,39.0849,72.65,6278.4,1.1328,,,,,,,,,,,,,,,,,,,,
15/04/2010,18.91,48.1,1211.67,0.6454,39.4685,72.78,6291.45,1.1417,,,,,,,,,,,,,,,,,,,,
16/04/2010,18.7925,45.6,1192.13,0.6509,38.1139,72.46,6180.9,1.1379,,,,,,,,,,,,,,,,,,,,
19/04/2010,18.895,48.8,1197.52,0.652,37.6344,71.42,6162.44,1.1371,,,,,,,,,,,,,,,,,,,,
20/04/2010,19.09,49.7,1207.18,0.6511,38.036,73.77,6264.23,1.1432,,,,,,,,,,,,,,,,,,,,
21/04/2010,19.18,49.3,1205.95,0.6489,37.7603,75.35,6230.38,1.1509,,,,,,,,,,,,,,,,,,,,
22/04/2010,19.5575,48.7,1208.67,0.6503,36.8133,75.2,6168.72,1.1568,,,,,,,,,,,,,,,,,,,,
23/04/2010,19.475,48.6,1217.28,0.6503,36.8552,74,6259.53,1.149,,,,,,,,,,,,,,,,,,,,
26/04/2010,19.505,46.1,1212.05,0.6469,37.4905,73.82,6332.1,1.1551,,,,,,,,,,,,,,,,,,,,
27/04/2010,19.185,43.4,1183.71,0.6551,36.4117,71.75,6159.51,1.1586,,,,,,,,,,,,,,,,,,,,
28/04/2010,19.11,44.5,1191.36,0.6575,35.3688,70.15,6084.34,1.1504,,,,,,,,,,,,,,,,,,,,
29/04/2010,19.3925,45.6,1206.78,0.6527,36.082,72.12,6144.91,1.1576,,,,,,,,,,,,,,,,,,,,
30/04/2010,18.9775,43.7,1186.69,0.6547,35.5606,70.93,6135.7,1.1487,,,,,,,,,,,,,,,,,,,,
03/05/2010,19.4425,44.1,1202.26,0.6559,36.3817,70.53,6166.92,1.1553,,,,,,,,,,,,,,,,,,,,
04/05/2010,19.3375,42.6,1173.6,0.6604,34.9972,69.43,6006.86,1.1661,,,,,,,,,,,,,,,,,,,,
05/05/2010,18.8025,41.8,1165.9,0.6622,34.218,67.7,5958.45,1.1785,,,,,,,,,,,,,,,,,,,,
06/05/2010,18.075,40.4,1128.15,0.6741,33.7445,66.9,5908.26,1.1749,,,,,,,,,,,,,,,,,,,,
07/05/2010,17.6525,40,1110.89,0.6755,34.4338,65.05,5715.09,1.1611,,,,,,,,,,,,,,,,,,,,
10/05/2010,19.1625,42.2,1159.73,0.6736,37.1729,67.9,6017.91,1.1613,,,,,,,,,,,,,,,,,,,,
11/05/2010,19.1075,41.7,1155.79,0.6687,36.5615,68.58,6037.71,1.1812,,,,,,,,,,,,,,,,,,,,
12/05/2010,19.4625,41.8,1171.67,0.6746,37.1369,70.1,6183.49,1.1749,,,,,,,,,,,,,,,,,,,,
13/05/2010,18.8875,40.9,1157.44,0.6843,38.2457,70.6,6251.97,1.1659,,,,,,,,,,,,,,,,,,,,
14/05/2010,18.435,39.8,1135.68,0.6879,36.7533,69.55,6056.71,1.1758,,,,,,,,,,,,,,,,,,,,
17/05/2010,18.4075,38.6,1136.94,0.6909,36.0281,68.98,6066.92,1.1678,,,,,,,,,,,,,,,,,,,,
18/05/2010,18.2325,37.3,1120.8,0.6976,36.2139,69.8,6155.93,1.1747,,,,,,,,,,,,,,,,,,,,
19/05/2010,18.0625,38.1,1115.05,0.6924,35.9562,68.4,5988.67,1.1634,,,,,,,,,,,,,,,,,,,,
20/05/2010,17.5775,36.3,1071.59,0.6961,35.6445,66.46,5867.88,1.1498,,,,,,,,,,,,,,,,,,,,
21/05/2010,17.8475,37.5,1087.69,0.6916,36.2019,67.35,5829.25,1.1503,,,,,,,,,,,,,,,,,,,,
24/05/2010,17.835,37.8,1073.65,0.6933,35.177,68.2,5805.68,1.1661,,,,,,,,,,,,,,,,,,,,
25/05/2010,18.2275,37.8,1074.03,0.694,33.8044,66.2,5670.04,1.1671,,,,,,,,,,,,,,,,,,,,
26/05/2010,18.13,38.6,1067.95,0.6951,34.5117,68.15,5758.02,1.1818,,,,,,,,,,,,,,,,,,,,
27/05/2010,18.475,40.2,1103.06,0.6858,35.117,69.02,5937.14,1.1796,,,,,,,,,,,,,,,,,,,,
28/05/2010,18.095,39.6,1089.41,0.6916,34.8114,69.05,5946.18,1.1775,,,,,,,,,,,,,,,,,,,,
31/05/2010,18.095,39.6,1089.41,0.6878,34.8234,70.16,5964.33,1.1814,,,,,,,,,,,,,,,,,,,,
01/06/2010,17.795,38.5,1070.71,0.6826,34.4937,69.31,5981.27,1.1979,,,,,,,,,,,,,,,,,,,,
02/06/2010,18.25,39.2,1098.38,0.6825,34.3079,68.66,5981.2,1.1962,,,,,,,,,,,,,,,,,,,,
03/06/2010,18.4075,39.6,1102.83,0.6843,34.194,69.25,6054.63,1.2013,,,,,,,,,,,,,,,,,,,,
04/06/2010,17.6925,37.9,1064.88,0.6919,33.3249,68.01,5938.88,1.2078,,,,,,,,,,,,,,,,,,,,
07/06/2010,17.3975,36.4,1050.47,0.6912,32.7855,67.93,5904.95,1.2133,,,,,,,,,,,,,,,,,,,,
08/06/2010,17.565,37.2,1062,0.6912,32.6357,67.37,5868.55,1.2086,,,,,,,,,,,,,,,,,,,,
09/06/2010,17.5025,38.7,1055.69,0.6883,32.8454,67.64,5984.75,1.2127,,,,,,,,,,,,,,,,,,,,
10/06/2010,17.9375,39,1086.84,0.6796,33.6606,69.7,6056.59,1.2137,,,,,,,,,,,,,,,,,,,,
11/06/2010,18.0825,38.8,1091.6,0.6872,34.6435,69.64,6047.83,1.2015,,,,,,,,,,,,,,,,,,,,
14/06/2010,18.055,38.8,1089.63,0.6783,35.0571,69.78,6125,1.2063,,,,,,,,,,,,,,,,,,,,
15/06/2010,18.495,39.9,1115.23,0.6754,35.7284,70.08,6175.05,1.2005,,,,,,,,,,,,,,,,,,,,
16/06/2010,18.4575,39.9,1114.61,0.6789,35.9322,69.41,6190.91,1.1966,,,,,,,,,,,,,,,,,,,,
17/06/2010,18.6425,39.6,1116.04,0.6746,35.8962,72.25,6223.54,1.1968,,,,,,,,,,,,,,,,,,,,
18/06/2010,18.735,40.1,1117.51,0.6745,36.5495,72.52,6216.98,1.1964,,,,,,,,,,,,,,,,,,,,
21/06/2010,18.5875,40.2,1113.2,0.6776,36.9811,73.2,6292.97,1.1987,,,,,,,,,,,,,,,,,,,,
22/06/2010,18.115,39.4,1095.31,0.675,36.7713,72.38,6269.04,1.2072,,,,,,,,,,,,,,,,,,,,
23/06/2010,18.13,38.9,1092.04,0.6686,36.1719,72.83,6204.52,1.215,,,,,,,,,,,,,,,,,,,,
24/06/2010,17.4075,37.8,1073.69,0.6695,35.141,71.54,6115.48,1.211,,,,,,,,,,,,,,,,,,,,
25/06/2010,17.53,39.4,1076.77,0.6638,35.8063,70.92,6070.6,1.2174,,,,,,,,,,,,,,,,,,,,
28/06/2010,17.625,40,1074.57,0.662,35.8303,71.91,6157.22,1.2305,,,,,,,,,,,,,,,,,,,,
29/06/2010,17.0425,37.3,1041.24,0.6637,34.8713,70.25,5952.03,1.2358,,,,,,,,,,,,,,,,,,,,
30/06/2010,16.8875,37.6,1030.71,0.6691,34.7934,69.64,5965.52,1.2215,,,,,,,,,,,,,,,,,,,,
01/07/2010,17.0175,37.8,1027.37,0.6589,34.9312,68.92,5857.43,1.2115,,,,,,,,,,,,,,,,,,,,
02/07/2010,16.965,37.9,1022.58,0.6581,35.2849,68.26,5834.15,1.2102,,,,,,,,,,,,,,,,,,,,
05/07/2010,16.965,37.9,1022.58,0.6607,35.0631,68.41,5816.2,1.207,,,,,,,,,,,,,,,,,,,,
06/07/2010,16.8025,37.9,1028.06,0.6601,35.8543,69.22,5940.98,1.1999,,,,,,,,,,,,,,,,,,,,
07/07/2010,17.14,39,1060.27,0.6584,37.101,69.95,5992.86,1.2018,,,,,,,,,,,,,,,,,,,,
08/07/2010,17.57,39.7,1070.24,0.6593,37.6883,70.5,6035.66,1.1945,,,,,,,,,,,,,,,,,,,,
09/07/2010,17.5375,40.4,1077.96,0.6638,37.6943,70.63,6065.24,1.1921,,,,,,,,,,,,,,,,,,,,
12/07/2010,17.4525,41.1,1078.75,0.6652,37.8262,71.12,6077.19,1.1934,,,,,,,,,,,,,,,,,,,,
13/07/2010,17.6175,43,1095.34,0.6589,38.3357,73.17,6191.13,1.1928,,,,,,,,,,,,,,,,,,,,
14/07/2010,17.635,42.1,1095.17,0.655,38.8511,73.43,6209.76,1.198,,,,,,,,,,,,,,,,,,,,
15/07/2010,17.6625,41.6,1096.48,0.6467,38.3656,71.7,6149.36,1.1942,,,,,,,,,,,,,,,,,,,,
16/07/2010,17.24,39,1064.88,0.6535,37.4006,71.7,6040.27,1.1833,,,,,,,,,,,,,,,,,,,,
19/07/2010,17.1525,39.8,1071.25,0.6566,37.3227,71.24,6009.11,1.1767,,,,,,,,,,,,,,,,,,,,
20/07/2010,17.46,39.9,1083.48,0.6551,37.1309,71.07,5967.49,1.1849,,,,,,,,,,,,,,,,,,,,
21/07/2010,17.4125,39.4,1069.59,0.6595,36.9931,71.82,5990.38,1.1889,,,,,,,,,,,,,,,,,,,,
22/07/2010,17.89,40.9,1093.67,0.6554,37.6524,73.61,6142.15,1.1838,,,,,,,,,,,,,,,,,,,,
23/07/2010,18.185,40.2,1102.66,0.6483,38.9051,74.14,6166.34,1.1948,,,,,,,,,,,,,,,,,,,,
26/07/2010,18.305,41.5,1115.01,0.6456,39.5704,73.72,6194.21,1.1918,,,,,,,,,,,,,,,,,,,,
27/07/2010,18.42,41.6,1113.84,0.6413,41.5363,72.85,6207.31,1.1999,,,,,,,,,,,,,,,,,,,,
28/07/2010,18.2775,40.9,1106.13,0.6411,41.3025,72.91,6178.94,1.2004,,,,,,,,,,,,,,,,,,,,
29/07/2010,18.3825,41.2,1101.53,0.6405,41.4164,72.44,6134.7,1.1938,,,,,,,,,,,,,,,,,,,,
30/07/2010,18.41,41,1101.6,0.6373,41.5962,72.83,6147.97,1.2028,,,,,,,,,,,,,,,,,,,,
02/08/2010,18.58,41.9,1125.86,0.6295,43.0647,73.2,6292.13,1.2054,,,,,,,,,,,,,,,,,,,,
03/08/2010,18.275,41.3,1120.46,0.6268,44.1076,72.85,6307.91,1.2057,,,,,,,,,,,,,,,,,,,,
04/08/2010,18.5,41.4,1127.24,0.6296,43.3284,73.18,6331.33,1.207,,,,,,,,,,,,,,,,,,,,
05/08/2010,18.515,41,1125.82,0.6291,42.3754,73.1,6333.58,1.205,,,,,,,,,,,,,,,,,,,,
06/08/2010,18.49,40.6,1121.64,0.6272,42.6211,72.53,6259.63,1.2005,,,,,,,,,,,,,,,,,,,,
09/08/2010,18.53,40.8,1127.79,0.6293,42.795,73.52,6351.6,1.2022,,,,,,,,,,,,,,,,,,,,
10/08/2010,18.4775,40,1121.06,0.6308,41.6562,72.47,6286.25,1.2031,,,,,,,,,,,,,,,,,,,,
11/08/2010,18.02,38.5,1089.47,0.6387,40.883,71.79,6154.07,1.2173,,,,,,,,,,,,,,,,,,,,
12/08/2010,17.88,38.7,1083.61,0.6419,40.4095,72.15,6135.17,1.2144,,,,,,,,,,,,,,,,,,,,
13/08/2010,17.645,38.8,1079.25,0.6414,41.0568,71.78,6110.41,1.2225,,,,,,,,,,,,,,,,,,,,
16/08/2010,17.765,38.7,1079.38,0.6384,40.6073,71.51,6110.57,1.2213,,,,,,,,,,,,,,,,,,,,
17/08/2010,17.9275,38.5,1092.54,0.6416,41.9259,72.39,6206.4,1.2096,,,,,,,,,,,,,,,,,,,,
18/08/2010,18.06,38.6,1094.16,0.6413,41.4164,72.74,6186.31,1.2134,,,,,,,,,,,,,,,,,,,,
19/08/2010,17.835,37.9,1075.63,0.6411,40.8051,73.3,6075.13,1.2163,,,,,,,,,,,,,,,,,,,,
20/08/2010,17.815,37.5,1071.69,0.6437,40.5413,71.99,6005.16,1.2221,,,,,,,,,,,,,,,,,,,,
23/08/2010,17.7375,37.5,1067.36,0.6447,40.3316,72.32,6010.91,1.2256,,,,,,,,,,,,,,,,,,,,
24/08/2010,17.5125,37.1,1051.87,0.6496,39.1388,71.17,5935.44,1.2195,,,,,,,,,,,,,,,,,,,,
25/08/2010,17.5325,36.8,1055.33,0.6469,38.5095,69.86,5899.5,1.2211,,,,,,,,,,,,,,,,,,,,
26/08/2010,17.5975,36.6,1047.22,0.644,38.4256,70.64,5912.58,1.2212,,,,,,,,,,,,,,,,,,,,
27/08/2010,17.735,37.6,1064.59,0.644,37.6104,71.73,5951.17,1.2171,,,,,,,,,,,,,,,,,,,,
30/08/2010,17.59,36.7,1048.92,0.6468,37.3707,71.3,5912.41,1.221,,,,,,,,,,,,,,,,,,,,
31/08/2010,17.5,37.09,1049.33,0.6515,37.5385,71.58,5925.22,1.2105,,,,,,,,,,,,,,,,,,,,
01/09/2010,18.0325,38.475,1080.29,0.6471,38.0899,73.31,6083.9,1.2066,,,,,,,,,,,,,,,,,,,,
02/09/2010,18.24,38.8,1090.1,0.6493,38.3057,73.8,6083.85,1.2008,,,,,,,,,,,,,,,,,,,,
03/09/2010,18.5625,39.1,1104.51,0.6472,38.3656,73.6,6134.62,1.1983,,,,,,,,,,,,,,,,,,,,
06/09/2010,18.5625,39.1,1104.51,0.6496,38.8631,74.2,6155.04,1.1955,,,,,,,,,,,,,,,,,,,,
07/09/2010,18.505,38.3,1091.84,0.6511,38.1199,73.23,6117.89,1.2111,,,,,,,,,,,,,,,,,,,,
08/09/2010,18.535,38.4,1098.87,0.6464,37.6104,73.65,6164.44,1.2162,,,,,,,,,,,,,,,,,,,,
09/09/2010,18.48,39.1,1104.18,0.6481,38.2398,74.8,6221.52,1.2154,,,,,,,,,,,,,,,,,,,,
10/09/2010,18.4375,39.1,1109.55,0.6511,37.6883,77.88,6214.77,1.2109,,,,,,,,,,,,,,,,,,,,
13/09/2010,18.67,39.9,1121.9,0.6481,38.5574,79.08,6261.68,1.1977,,,,,,,,,,,,,,,,,,,,
14/09/2010,18.8175,39.4,1121.1,0.6436,38.8391,79.15,6275.41,1.196,,,,,,,,,,,,,,,,,,,,
15/09/2010,19.14,39.2,1125.07,0.6401,38.8931,78.97,6261.87,1.2009,,,,,,,,,,,,,,,,,,,,
16/09/2010,19.16,39.7,1124.66,0.64,38.5994,78.9,6249.65,1.1946,,,,,,,,,,,,,,,,,,,,
17/09/2010,19.315,39.5,1125.59,0.6397,38.0599,79.5,6209.76,1.1979,,,,,,,,,,,,,,,,,,,,
20/09/2010,19.5925,39.9,1142.71,0.6432,38.5394,80.26,6294.58,1.1902,,,,,,,,,,,,,,,,,,,,
21/09/2010,19.4225,39.4,1139.78,0.6401,38.2398,81.4,6275.98,1.1779,,,,,,,,,,,,,,,,,,,,
22/09/2010,19.3275,38.8,1134.28,0.6384,37.6943,80.82,6208.33,1.1683,,,,,,,,,,,,,,,,,,,,
23/09/2010,19.4175,38,1124.83,0.6376,37.041,78.86,6184.71,1.1777,,,,,,,,,,,,,,,,,,,,
24/09/2010,19.8925,39.04,1148.67,0.6319,37.2268,81.1,6298.3,1.173,,,,,,,,,,,,,,,,,,,,
27/09/2010,19.7775,38.7,1142.16,0.6318,37.2208,81.23,6278.89,1.1764,,,,,,,,,,,,,,,,,,,,
28/09/2010,20.16,38.825,1147.7,0.6328,36.5735,81.13,6276.09,1.1635,,,,,,,,,,,,,,,,,,,,
29/09/2010,19.9825,39.2,1144.73,0.6335,36.0161,81.36,6246.92,1.1584,,,,,,,,,,,,,,,,,,,,
30/09/2010,20.035,39.1,1141.2,0.6363,36.7353,80.84,6229.02,1.1524,,,,,,,,,,,,,,,,,,,,
01/10/2010,20.0625,40.9,1146.24,0.6321,36.2618,78.57,6211.34,1.1471,,,,,,,,,,,,,,,,,,,,
04/10/2010,19.97,40.3,1137.03,0.6317,35.9921,76.13,6134.21,1.1568,,,,,,,,,,,,,,,,,,,,
05/10/2010,20.325,41.3,1160.75,0.6293,36.5675,76.54,6215.83,1.1483,,,,,,,,,,,,,,,,,,,,
06/10/2010,20.3275,41,1159.97,0.6293,36.3757,76.73,6270.73,1.1408,,,,,,,,,,,,,,,,,,,,
07/10/2010,20.2475,41.8,1158.06,0.6298,36.7533,78.8,6276.25,1.14,,,,,,,,,,,,,,,,,,,,
08/10/2010,20.51,41.9,1165.15,0.6265,38.1079,80.36,6291.67,1.1455,,,,,,,,,,,,,,,,,,,,
11/10/2010,20.495,41.8,1165.32,0.6296,38.3476,80.18,6309.51,1.1444,,,,,,,,,,,,,,,,,,,,
12/10/2010,20.4725,42.4,1169.77,0.6326,38.1439,81.58,6304.57,1.1354,,,,,,,,,,,,,,,,,,,,
13/10/2010,20.505,42.5,1178.1,0.629,39.4145,82.3,6434.52,1.1385,,,,,,,,,,,,,,,,,,,,
14/10/2010,20.4425,40.6,1173.81,0.6246,38.7193,82.74,6455.27,1.1369,,,,,,,,,,,,,,,,,,,,
15/10/2010,20.5,39.5,1176.19,0.6253,38.4136,82.11,6492.3,1.1438,,,,,,,,,,,,,,,,,,,,
18/10/2010,20.415,41.7,1184.71,0.6299,38.8871,82.01,6516.63,1.1394,,,,,,,,,,,,,,,,,,,,
19/10/2010,20.1825,40.6,1165.9,0.6366,39.1028,79.81,6490.69,1.1441,,,,,,,,,,,,,,,,,,,,
20/10/2010,20.31,41.1,1178.17,0.631,38.7612,80.5,6524.55,1.135,,,,,,,,,,,,,,,,,,,,
21/10/2010,20.5275,40.7,1180.27,0.6368,38.7852,81.95,6611.01,1.1282,,,,,,,,,,,,,,,,,,,,
22/10/2010,20.48,41.1,1183.08,0.6377,38.7133,85.13,6605.84,1.1241,,,,,,,,,,,,,,,,,,,,
25/10/2010,20.5125,42.1,1185.62,0.636,38.4136,89.43,6639.21,1.1262,,,,,,,,,,,,,,,,,,,,
26/10/2010,20.455,41.8,1185.64,0.6311,38.4375,90.68,6613.8,1.1433,,,,,,,,,,,,,,,,,,,,
27/10/2010,20.2575,41.7,1182.45,0.6342,38.7252,91.33,6568,1.1453,,,,,,,,,,,,,,,,,,,,
28/10/2010,20.2775,41.7,1183.78,0.6271,38.7792,94.31,6595.28,1.1446,,,,,,,,,,,,,,,,,,,,
29/10/2010,20.36,41.7,1183.26,0.6235,38.8391,94.75,6601.37,1.1503,,,,,,,,,,,,,,,,,,,,
01/11/2010,20.275,41.5,1184.39,0.6236,38.5035,93.85,6604.86,1.1542,,,,,,,,,,,,,,,,,,,,
02/11/2010,20.4375,41.7,1193.57,0.6234,38.6593,94.38,6654.31,1.1431,,,,,,,,,,,,,,,,,,,,
